station_id,status
KGAACWOR152,empty
KGAACWOR257,empty
KGAJOHNS63,empty
KGAROSWE59,empty
KGAATLAN94,found
KGAATLAN730,found
KGAATLAN1047,empty
KGAATLAN555,found
KGADECAT160,empty
KGAATLAN651,empty
KGAATLAN532,found
KGAATLAN874,found
KGAATLAN1036,empty
KGAATLAN599,found
KGADORAV10,empty
KGACHAMB27,found
KGAATLAN753,found
KGAATLAN627,found
KGACHAMB28,empty
KGAATLAN734,found
KGAATLAN950,empty
KGAATLAN427,found
KGAFAYET139,empty
KGAATLAN338,found
KGAATLAN392,found
KGABALLG40,found
KGACUMMI344,found
KGAFAYET144,empty
KGASUGAR45,found
KGASUGAR57,empty
KGACUMMI542,found
KGACUMMI346,found
KGALAWRE102,found
KGACANTO321,empty
KGACANTO394,found
KGACANTO376,found
KGACANTO459,found
KGACANTO472,empty
KGACANTO323,empty
KGACANTO171,found
KGAWALES37,empty
KGACHEST4,found
KGACUMMI546,found
KGACUMMI587,empty
KGADACUL64,found
KGADOUGL177,empty
KGADOUGL186,empty
KGASUWAN102,found
KGATYRON11,found
KGAFAYET108,found
KGAREX1,empty
KGAGRAYS24,found
KGAMARIE720,found
KGASTOCK30,found
KGAKENNE196,found
KGAKENNE95,found
KGAMARIE168,empty
KGAMARIE192,found
KGALILBU42,found
KGASTONE26,found
KGALITHI13,empty
KGAMARIE624,found
KGAMARIE52,found
KGAMARIE741,empty
KGAMARIE569,found
KGAMARIE655,found
KGAMARIE383,empty
KGAROSWE91,found
KGAMARIE419,found
KGAROSWE229,empty
KGAMCDON17,found
KGAMCDON69,found
KGANORCR61,found
KGASMYRN100,empty
KGASUWAN99,empty
KGAWOODS220,found
KGAWOODS308,found
