source,station_id,name,mac_address,earliest_date,latest_date,last_scraped_date,total_days,total_observations,latitude,longitude,elevation_ft,extinct
AWN,66d2121f64f7341edbc41159,Quantum Rd,48:E7:29:5F:43:DA,2024-11-20,2026-06-14,2026-06-14,572,154772,34.3640203,-84.4959162,1324.5,False
AWN,67ca33106475c7a869db7c81,My Weather Station,EC:64:C9:EF:E6:5A,2025-03-06,2026-06-14,2026-06-14,466,124329,34.3502,-84.3697,,False
AWN,62cc502941dc9d000154ab93,My Weather S,98:CD:AC:22:DD:31,2022-04-04,2026-06-14,2026-06-14,1518,423280,34.34358596,-84.53820706,1199.0,False
AWN,63d979efd08f780001d6989c,ConwayBG II,C4:5B:BE:FA:BD:A0,2023-01-31,2026-06-14,2026-06-14,1231,343036,34.3372664,-84.3779515,1105.6,False
AWN,6053a2703bfdb9000188e30a,FC Weather Station,F0:08:D1:07:31:E1,2021-03-18,2026-06-14,2026-06-14,1867,524149,34.3363529,-84.2812676,1110.2,False
AWN,676d64f40408c96470bf1f83,Randys Weather Station,CC:8D:A2:77:F5:F8,2024-12-26,2026-06-14,2026-06-14,535,143151,34.3339,-84.2211,1216.0,False
AWN,68b0973cf911c8cae68b630a,Delaney Pine Dr.,C4:D8:D5:3C:E6:B9,2025-08-28,2026-06-14,2026-06-14,291,73194,34.3318,-84.5958,1367.1,False
AWN,683c6c1ab9643894e383f106,TAJOHNSON,4C:EB:D6:20:2A:CB,2025-06-01,2026-06-14,2026-06-14,379,98817,34.3277,-84.0832,1218.1,False
AWN,64ca6a859038b3fb033f4c74,ConwayBG I,50:02:91:46:C4:AD,2020-03-07,2026-06-14,2026-06-14,2272,641979,34.3246614,-84.3573534,1144.1,False
AWN,6503a77c762f8d7a8222de42,Webb Weather,24:D7:EB:CF:28:23,2025-07-21,2026-06-14,2026-06-14,329,84559,34.320199,-84.027461,1347.3,False
AWN,63b1e07ae2ce990001d8e6bb,5480TMR,30:83:98:A5:F3:76,2025-08-25,2026-06-14,2026-06-14,259,65970,34.317667,-83.95666,1228.1,False
AWN,62c32e2e37935f00018aa55b,Home Weather,BC:FF:4D:0F:48:97,2022-07-04,2026-06-14,2026-06-14,1429,398648,34.31436321,-84.48875494,1350.9,False
AWN,5d559f7e838e6483b722e5bf,KCNI,noaa-KCNI,2022-08-08,2026-06-14,2026-06-14,1397,95768,34.31056,-84.42389,1220.0,False
AWN,684e1473de7749a537d28bec,Andrews,B0:81:84:AB:13:DC,2025-06-15,2026-06-14,2026-06-14,365,95097,34.3092,-84.0441,1352.7,False
AWN,658f5139ae76f8feafd6443c,Brewton Branch Farm,34:00:8A:E4:6E:19,2025-07-01,2026-06-14,2026-06-14,347,89412,34.3073998,-84.1991805,1020.7,False
AWN,658e08067ebbeda887782628,My Weather Station,C8:C9:A3:10:3A:E8,2023-12-28,2026-06-14,2026-06-14,880,240687,34.306718,-84.61539,,False
AWN,5fa736b31a93d3000187e2a0,Home weather,48:3F:DA:55:EC:33,2020-11-08,2026-06-14,2026-06-14,2038,576408,34.30601637,-84.2528887,983.2,False
AWN,61dce31e5bdbe500018925e1,My Weather Station,34:00:8A:E2:88:A8,2025-10-14,2026-06-14,2026-06-14,243,59057,34.305585,-84.171317,1084.3,False
AWN,650e216e9002746c1a9d4890,Pops Weather Station ,34:94:54:8C:B5:69,2023-09-22,2026-06-14,2026-06-14,983,270585,34.3026629,-83.9705609,1236.3,False
AWN,65f1f762ea78d4aa853ff402,Dude's Weather Station,48:55:19:C2:CF:EB,2024-03-13,2026-06-14,2026-06-14,815,222120,34.2995573,-83.9755423,1192.8,False
AWN,61ce65f3ce082a00010472b2,Crackyn's Cave,E8:DB:84:E3:D3:B5,2025-03-27,2026-06-14,2026-06-14,445,117787,34.2971069,-84.220481,1125.4,False
AWN,67aad9e5298b732768163adf,"Coal Mountain, Ga",EC:64:C9:EF:EB:06,2025-02-11,2026-06-14,2026-06-14,485,129278,34.2966,-84.0997,1160.7,False
AWN,67fef3509db6df6c9240bfe9,Lake House,D4:8C:49:30:35:E0,2025-04-16,2026-06-14,2026-06-14,425,111906,34.2962,-84.5985,1020.8,False
AWN,61c8f4a1abc29e00017ff67e,HighSouthAdventures.com,E8:DB:84:E7:29:4E,2021-12-26,2026-06-14,2026-06-14,1632,457911,34.294265,-83.9996296,1262.3,False
AWN,6586e90d585bb99e8441e3a0,Hunter Weather Station,C8:C9:A3:16:B6:48,2025-08-01,2026-06-13,2026-06-13,317,80598,34.2940086,-84.5612348,973.6,False
AWN,666f35d0eea624a1c65449da,Hugh's WX,08:3A:8D:DE:D5:08,2024-06-16,2026-06-14,2026-06-14,729,197861,34.2939503,-84.243039,,False
AWN,674b266d5ba61fdefcf4593c,Home,CC:8D:A2:73:66:E8,2024-11-30,2026-06-14,2026-06-14,562,151856,34.2937,-84.1939,1132.5,False
AWN,601b2bf98da6250001b7f2e4,Jesslin Oaks,E0:98:06:A3:36:B5,2025-01-06,2026-06-14,2026-06-14,525,140799,34.2935808,-84.1509207,1185.9,False
AWN,66f6210b75d452ad08d36db6,Johnson Weather Station,08:F9:E0:78:09:B7,2025-12-03,2026-06-14,2026-06-14,194,45715,34.2918443,-84.1977865,1128.0,False
AWN,658c8fe7f80e8fb4adb11ca8,Home5650,C8:C9:A3:0E:DB:68,2025-08-22,2026-06-14,2026-06-14,296,74361,34.287674,-84.026813,,False
AWN,64a4245d24562da70d2aec47,Possum Kingdom ,C8:C9:A3:55:8C:F3,2025-07-16,2026-06-14,2026-06-14,334,85915,34.285763,-84.22824,1076.9,False
AWN,6591cd951f8798283424c4c9,My Weather Station,C8:C9:A3:16:BD:C7,2024-01-08,2026-06-14,2026-06-14,888,242118,34.284857,-84.1528967,1147.6,False
AWN,680a64c79b67a11c9e5d0e6a,Macedonia,C8:C9:A3:10:3D:6E,2025-04-24,2026-06-14,2026-06-14,416,108608,34.2824,-84.341,1141.4,False
AWN,5fe6254636eec300017b833c,Great Sky,F0:08:D1:07:11:1B,2020-12-25,2026-06-14,2026-06-14,1991,562252,34.2811653,-84.4906262,1299.2,False
AWN,65919beb9073ace0a8c409d6,Big D,C8:C9:A3:16:A0:CC,2025-10-17,2026-06-14,2026-06-14,241,59033,34.2798949,-84.503661,1309.3,False
AWN,67bc8785309051dbc397f820,New Ranch Weather,48:E7:29:7C:27:C2,2025-02-24,2026-06-14,2026-06-14,473,126294,34.278,-84.0022,1262.4,False
AWN,676d9d5a3d72bd95c2c8d669,BLAKE WS,EC:64:C9:EF:F0:0B,2024-12-26,2026-06-14,2026-06-14,536,144264,34.2768,-84.467,1190.4,False
AWN,60255226088a3800014f49ea,JDO Weather,F4:CF:A2:E2:B8:B1,2022-01-27,2026-06-14,2026-06-14,1597,446773,34.27600448,-84.22970898,1111.8,False
AWN,6434b158617f890001a50603,Cannon Creek Farm,7C:DF:A1:B2:F0:B8,2023-04-11,2026-06-14,2026-06-14,1158,321591,34.2739226,-84.1771836,1182.8,False
AWN,65b13738eabf445638301375,Home - K4EA,08:3A:8D:FB:48:EE,2024-03-22,2026-06-14,2026-06-14,799,215823,34.2718754,-84.5445584,1230.2,False
