source,station_id,name,mac_address,earliest_date,latest_date,last_scraped_date,total_days,total_observations,latitude,longitude,elevation_ft,extinct
GDOT,10878,GA400_PittsRoad,,3/19/26,6/15/26,6/16/26,89,1874,33.8655,-84.3507,,False
GDOT,10887,GA400_SR140_HolcombBridgeRoad,,1/30/15,6/15/26,6/16/26,4155,333021,34.0136,-84.3306,,False
GDOT,10889,GA400_SR20,,1/30/15,6/15/26,6/16/26,4155,331213,34.1837,-84.1391,,False
GDOT,11665,I20_Klondike_WestAve,,9/13/17,6/15/26,6/16/26,3198,250633,33.6653,-84.03,,False
GDOT,10870,I285_MorelandAve,,1/30/15,6/15/26,6/16/26,4155,330999,33.6692,-84.338,,False
GDOT,10872,I285_SR8_DL_HollowellPkwy,,1/30/15,6/15/26,6/16/26,4155,671198,33.7876,-84.4922,,False
GDOT,10869,I285_WashingtonRoad,,1/30/15,6/15/26,6/16/26,4155,329685,33.6345,-84.4912,,False
GDOT,12490,I575_SR20,,9/28/22,6/15/26,6/16/26,1357,95215,34.2202,-84.4905,,False
GDOT,10891,I75_10thStreet,,1/30/15,6/15/26,6/16/26,4155,312321,33.7806,-84.3914,,False
GDOT,10864,I75_HudsonBridgeRoad,,1/30/15,6/15/26,6/16/26,4155,336241,33.5055,-84.2308,,False
GDOT,10892,I75_SR120_SouthMariettaPkwy,,1/30/15,6/15/26,6/16/26,4155,319074,33.9689,-84.5265,,False
GDOT,10886,I75_SR92,,1/30/15,6/15/26,6/16/26,4155,334424,34.0788,-84.6464,,False
GDOT,10893,I85_JimmyCarterBlvd,,1/30/15,6/15/26,6/16/26,4155,323168,33.9173,-84.1994,,False
GDOT,10885,I85_OldPeachtreeRoad,,1/30/15,6/15/26,6/16/26,4155,301678,34.0067,-84.0707,,False
GDOT,10863,I85_SR74_SenoiaRoad,,1/30/15,4/18/26,6/16/26,4097,324643,33.5469,-84.5748,,True
GDOT,10881,US78_MountainIndustrialBlvd,,1/30/15,6/15/26,6/16/26,4155,339319,33.8352,-84.2001,,False
GDOT,GA314,I20_PanolaRoad,,1/30/15,5/6/25,6/16/26,3750,284550,33.7108,-84.2111,,True
